   1|   72|    male|         single_woman|   nat3|    rel3|    eth6|               34-43|         male|                  single_woman/single_parent_mother|        mixed|   dont mind|       same|      dont mind|  dont mind|            dont mind|         1-4|
   2|   52|   other| single_parent_father|   nat2|    rel7|    eth1|               44-50|        other|                                          dont mind|         same|       mixed|       same|             L4|         no|    1/1/2021-1/4/2021|         2-3|
   3|   70|   other|         single_woman|   nat5|    rel4|    eth2|               34-43|       female|                                   extended/nuclear|    dont mind|   dont mind|      mixed|          L2/L3|        yes|   3/7/2021-12/2/2022|           5|
   4|   71|   other|             extended|   nat1|    rel2|    eth3|              65-120|        other|                  single_woman/single_parent_mother|        mixed|       mixed|       same|          L3/L6|        yes|    1/1/2021-1/7/2021|         2-7|
   5|   36|    male|         single_woman|   nat7|    rel5|    eth7|         18-25/26-33|       female|                                         single_man|         same|   dont mind|       same|       L7/L6/L5|         no|    1/1/2021-1/7/2022|         3-5|
   6|   24|    male|           single_man|   nat3|    rel6|    eth2|               44-50|         male|                                   extended/nuclear|        mixed|   dont mind|  dont mind|             L4|  dont mind|    1/1/2021-1/7/2022|         2-7|
   7|   47|   other|             extended|   nat4|    rel3|    eth3|               44-50|    dont mind|                               single_parent_mother|         same|       mixed|      mixed|       L4/L2/L7|  dont mind|    1/1/2021-1/7/2022|           5|
   8|   50|  female|           single_man|   nat7|    rel1|    eth5|           dont mind|         male|                                         single_man|        mixed|       mixed|      mixed|          L3/L6|        yes|  23/4/2020-17/5/2021|         2-7|
   9|   54|    male|           single_man|   nat4|    rel3|    eth6|           dont mind|    dont mind|                                           extended|        mixed|        same|       same|       L4/L2/L7|         no|    1/5/2021-1/5/2022|         3-5|
  10|   51|  female|         single_woman|   nat5|    rel7|    eth7|         44-50/51-65|         male|                                         single_man|    dont mind|        same|      mixed|             L5|        yes|   15/3/2021-1/4/2022|         3-5|
  11|   71|   other|              nuclear|   nat7|    rel7|    eth7|         18-25/26-33|       female|                  single_woman/single_parent_mother|         same|   dont mind|      mixed|       L1/L2/L3|         no|   15/3/2021-1/4/2022|         1-4|
  12|   62|    male|           single_man|   nat1|    rel4|    eth5|               51-65|         male|                  single_woman/single_parent_mother|        mixed|       mixed|  dont mind|             L4|        yes|    1/5/2021-1/5/2022|         2-4|
  13|   71|   other|              nuclear|   nat1|    rel3|    eth2|               34-43|        other|                                          dont mind|         same|   dont mind|  dont mind|       L4/L2/L7|        yes|    1/5/2021-1/5/2022|         2-3|
  14|   63|  female|           single_man|   nat2|    rel6|    eth4|         18-25/26-33|         male| single_parent_mother/single_parent_father/extended|    dont mind|   dont mind|  dont mind|          L2/L3|  dont mind|  23/4/2020-17/5/2021|           2|
  15|   56|  female|              nuclear|   nat2|    rel5|    eth5|           dont mind|         male|                               single_parent_mother|    dont mind|   dont mind|       same|          L3/L6|  dont mind|   1/9/2021-1/12/2021|         3-5|
  16|   72|   other|              nuclear|   nat4|    rel1|    eth6|           dont mind|       female|                  single_woman/single_parent_mother|         same|       mixed|       same|          L1/L7|         no|    1/1/2021-1/7/2022|           1|
  17|   41|   other|             extended|   nat1|    rel5|    eth4|               34-43|    dont mind|                               single_parent_mother|    dont mind|        same|      mixed|          L3/L5|         no|    1/1/2021-1/7/2022|         2-4|
  18|   74|   other|             extended|   nat2|    rel3|    eth6|        51-65/65-120|       female|                    single_parent_father/single_man|        mixed|        same|      mixed|          L3/L6|  dont mind|    1/3/2021-1/7/2022|           3|
  19|   49|  female|           single_man|   nat2|    rel1|    eth5|   18-25/26-33/34-43|    dont mind|                                          dont mind|    dont mind|        same|      mixed|          L6/L2|  dont mind|    1/1/2021-1/7/2021|           4|
  20|   30|  female|              nuclear|   nat2|    rel7|    eth2|               26-33|    dont mind|                               single_parent_father|        mixed|       mixed|       same|             L5|  dont mind|    1/1/2021-1/4/2021|           5|
  21|   26|    male|           single_man|   nat2|    rel3|    eth3|               34-43|       female|                               single_parent_mother|         same|        same|  dont mind|      dont mind|  dont mind|    1/1/2021-1/7/2022|         2-7|
  22|   21|  female|             extended|   nat2|    rel1|    eth7|         18-25/26-33|    dont mind|                                           extended|    dont mind|       mixed|       same|             L5|         no|    1/5/2021-1/5/2022|         2-7|
  23|   29|  female|           single_man|   nat3|    rel3|    eth1|               34-43|       female| single_parent_mother/single_parent_father/extended|        mixed|   dont mind|  dont mind|       L4/L2/L7|        yes|    1/1/2021-1/7/2022|           1|
  24|   71|    male| single_parent_father|   nat7|    rel4|    eth3|               18-25|       female|                               single_parent_father|         same|   dont mind|      mixed|             L1|  dont mind|   15/3/2021-1/4/2022|           4|
  25|   63|  female|              nuclear|   nat3|    rel3|    eth5|               18-25|         male|                  single_woman/single_parent_mother|         same|   dont mind|       same|             L6|         no|    1/1/2021-1/7/2021|           4|
  26|   18|   other|             extended|   nat5|    rel7|    eth2|        51-65/65-120|    dont mind|                               single_parent_mother|         same|   dont mind|      mixed|             L3|  dont mind|            dont mind|         2-7|
  27|   45|  female|             extended|   nat1|    rel7|    eth4|               51-65|    dont mind|                                            nuclear|        mixed|        same|      mixed|             L3|        yes|   1/9/2021-1/12/2021|         2-7|
  28|   36|    male|             extended|   nat5|    rel4|    eth7|         18-25/26-33|       female|                               single_parent_father|        mixed|       mixed|       same|       L4/L2/L7|         no|    1/1/2021-1/7/2021|         3-5|
  29|   63|    male|             extended|   nat4|    rel7|    eth6|         18-25/26-33|        other|                                          dont mind|         same|   dont mind|      mixed|       L4/L2/L7|        yes|    1/3/2021-1/7/2022|         1-2|
  30|   46|    male| single_parent_father|   nat4|    rel3|    eth1|               44-50|    dont mind|                               single_parent_father|        mixed|        same|  dont mind|             L7|        yes|   1/9/2021-1/12/2021|         2-3|
  31|   50|   other|              nuclear|   nat4|    rel5|    eth6|              65-120|         male|                                            nuclear|    dont mind|        same|  dont mind|      dont mind|  dont mind|            dont mind|           1|
  32|   49|    male|              nuclear|   nat3|    rel6|    eth2|               34-43|         male|                               single_parent_father|    dont mind|   dont mind|  dont mind|             L6|  dont mind|    1/1/2021-1/7/2022|   dont mind|
  33|   49|    male|              nuclear|   nat5|    rel3|    eth7|               26-33|        other|                                           extended|        mixed|        same|      mixed|       L3/L6/L7|         no|    1/1/2021-1/7/2022|         1-5|
  34|   37|  female|              nuclear|   nat5|    rel4|    eth4|              65-120|         male|                                   extended/nuclear|         same|       mixed|      mixed|             L7|  dont mind|            dont mind|         1-5|
